PopID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
nebrodensis	1029	3.26924	2.34076	0.01155	0.87300	0.03061	0.00132	0.16016	0.07406	0.00205	0.83984	0.07406	0.00205	0.16053	0.04058	0.00152	0.83947	0.04058	0.00152	0.20033	0.07063	0.00201	0.07307	0.10666	0.01155
cephalonica1	589	3.10392	2.34114	0.01178	0.86503	0.03053	0.00134	0.18274	0.08056	0.00218	0.81726	0.08056	0.00218	0.17245	0.04049	0.00155	0.82755	0.04049	0.00155	0.21582	0.07201	0.00207	0.05745	0.10671	0.01178
cephalonica2	715	3.15533	2.41681	0.01184	0.87310	0.03025	0.00133	0.16152	0.07384	0.00207	0.83848	0.07384	0.00207	0.16109	0.04031	0.00153	0.83891	0.04031	0.00153	0.20130	0.07102	0.00203	0.07210	0.10591	0.01184
cephalonica3	728	3.08206	2.33748	0.01173	0.86361	0.03208	0.00137	0.18333	0.08502	0.00224	0.81667	0.08502	0.00224	0.17142	0.04157	0.00156	0.82858	0.04157	0.00156	0.21849	0.07746	0.00213	0.06048	0.10647	0.01173
alba1	592	3.19724	2.25062	0.01153	0.86083	0.03022	0.00134	0.17062	0.07109	0.00205	0.82938	0.07109	0.00205	0.17917	0.04027	0.00154	0.82083	0.04027	0.00154	0.22287	0.07061	0.00204	0.09337	0.12163	0.01153
alba2	660	3.12345	2.27150	0.01157	0.86814	0.02977	0.00132	0.17003	0.07375	0.00208	0.82997	0.07375	0.00208	0.16941	0.03992	0.00153	0.83059	0.03992	0.00153	0.21183	0.07074	0.00204	0.07351	0.10955	0.01157
alba3	483	3.15214	2.39841	0.01205	0.87135	0.03050	0.00136	0.16597	0.07448	0.00212	0.83403	0.07448	0.00212	0.16321	0.04036	0.00156	0.83679	0.04036	0.00156	0.20355	0.07057	0.00207	0.06537	0.10500	0.01205

